Name,Type1,Type2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,PokeAPI_Matched,PokeAPI_Query_Name,PokeAPI_ID,Base_Experience,Height_dm,Weight_hg,Ability_Count,Hidden_Ability_Count,Abilities,Move_Count,Is_Default_Form,Species_Name,Generation,Habitat,Growth_Rate,Color,Shape,Capture_Rate,Base_Happiness,Is_Baby,Is_Legendary,Is_Mythical,Evolves_From,Rarity_Context_Flag,Evolution_Context_Flag,Height_dm_Scaled_Enriched,Weight_hg_Scaled_Enriched,Base_Experience_Scaled_Enriched,Ability_Count_Scaled_Enriched,Hidden_Ability_Count_Scaled_Enriched,Move_Count_Scaled_Enriched,Resource_Intensity_Index,Ability_Complexity_Index,Enrichment_Context_Score
Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,True,bulbasaur,1.0,64.0,7.0,69.0,2.0,1.0,"overgrow, chlorophyll",86.0,True,bulbasaur,generation-i,grassland,medium-slow,green,quadruped,45.0,70.0,False,False,False,,0,0,0.03015075376884422,0.006801360272054411,0.048951048951048945,0.5,1.0,0.22727272727272724,0.02863438766398253,0.5757575757575758,0.2388933466022251
Ivysaur,Grass,Poison,405,60,62,63,80,80,60,True,ivysaur,2.0,142.0,10.0,130.0,2.0,1.0,"overgrow, chlorophyll",83.0,True,ivysaur,generation-i,grassland,medium-slow,green,quadruped,45.0,70.0,False,False,False,bulbasaur,0,1,0.04522613065326633,0.01290258051610322,0.1853146853146853,0.5,1.0,0.2192513368983957,0.08114779882801829,0.5730837789661319,0.40357785123485823
Venusaur,Grass,Poison,525,80,82,83,100,100,80,True,venusaur,3.0,236.0,20.0,1000.0,2.0,1.0,"overgrow, chlorophyll",97.0,True,venusaur,generation-i,grassland,medium-slow,green,quadruped,45.0,70.0,False,False,False,ivysaur,0,1,0.09547738693467338,0.09991998399679936,0.3496503496503497,0.5,1.0,0.2566844919786096,0.18168257352727415,0.5855614973262032,0.4387293709886636
Venusaur,Grass,Poison,625,80,100,123,122,120,80,True,venusaur,3.0,236.0,20.0,1000.0,2.0,1.0,"overgrow, chlorophyll",97.0,True,venusaur,generation-i,grassland,medium-slow,green,quadruped,45.0,70.0,False,False,False,ivysaur,0,1,0.09547738693467338,0.09991998399679936,0.3496503496503497,0.5,1.0,0.2566844919786096,0.18168257352727415,0.5855614973262032,0.4387293709886636
Charmander,Fire,,309,39,52,43,60,50,65,True,charmander,4.0,62.0,6.0,85.0,2.0,1.0,"blaze, solar-power",105.0,True,charmander,generation-i,mountain,medium-slow,red,upright,45.0,70.0,False,False,False,,0,0,0.025125628140703515,0.008401680336067212,0.04545454545454544,0.5,1.0,0.2780748663101604,0.026327284643772056,0.5926916221033868,0.24497483423448632
Charmeleon,Fire,,405,58,64,58,80,65,80,True,charmeleon,5.0,142.0,11.0,190.0,2.0,1.0,"blaze, solar-power",103.0,True,charmeleon,generation-i,mountain,medium-slow,red,upright,45.0,70.0,False,False,False,charmander,0,1,0.05025125628140704,0.01890378075615123,0.1853146853146853,0.5,1.0,0.2727272727272727,0.0848232407840812,0.5909090909090909,0.41181060859886076
Charizard,Fire,Flying,534,78,84,78,109,85,100,True,charizard,6.0,240.0,17.0,905.0,2.0,1.0,"blaze, solar-power",131.0,True,charizard,generation-i,mountain,medium-slow,red,upright,45.0,70.0,False,False,False,charmeleon,0,1,0.08040201005025126,0.09041808361672334,0.35664335664335667,0.5,1.0,0.3475935828877005,0.17582115010344376,0.6158645276292335,0.44909215608272657
Charizard,Fire,Dragon,634,78,130,111,130,85,100,True,charizard,6.0,240.0,17.0,905.0,2.0,1.0,"blaze, solar-power",131.0,True,charizard,generation-i,mountain,medium-slow,red,upright,45.0,70.0,False,False,False,charmeleon,0,1,0.08040201005025126,0.09041808361672334,0.35664335664335667,0.5,1.0,0.3475935828877005,0.17582115010344376,0.6158645276292335,0.44909215608272657
Charizard,Fire,Flying,634,78,104,78,159,115,100,True,charizard,6.0,240.0,17.0,905.0,2.0,1.0,"blaze, solar-power",131.0,True,charizard,generation-i,mountain,medium-slow,red,upright,45.0,70.0,False,False,False,charmeleon,0,1,0.08040201005025126,0.09041808361672334,0.35664335664335667,0.5,1.0,0.3475935828877005,0.17582115010344376,0.6158645276292335,0.44909215608272657
Squirtle,Water,,314,44,48,65,50,64,43,True,squirtle,7.0,63.0,5.0,90.0,2.0,1.0,"torrent, rain-dish",105.0,True,squirtle,generation-i,waters-edge,medium-slow,blue,upright,45.0,70.0,False,False,False,,0,0,0.020100502512562814,0.008901780356071214,0.0472027972027972,0.5,1.0,0.2780748663101604,0.025401693357143745,0.5926916221033868,0.24469715684849783
